%Distance 	View factor
3.20000	0.06279
3.21000	0.06238
3.22000	0.06202
3.23000	0.06166
3.24000	0.06133
3.25000	0.06098
3.26000	0.06062
3.27000	0.06021
3.28000	0.05990
3.29000	0.05959
3.30000	0.05920
3.31000	0.05883
3.32000	0.05852
3.33000	0.05821
3.34000	0.05790
3.35000	0.05752
3.36000	0.05718
3.37000	0.05686
3.38000	0.05663
3.39000	0.05627
3.40000	0.05593
3.41000	0.05562
3.42000	0.05534
3.43000	0.05503
3.44000	0.05470
3.45000	0.05437
3.46000	0.05408
3.47000	0.05380
3.48000	0.05354
3.49000	0.05323
3.50000	0.05289
3.51000	0.05262
3.52000	0.05236
3.53000	0.05210
3.54000	0.05179
3.55000	0.05151
3.56000	0.05122
3.57000	0.05096
3.58000	0.05074
3.59000	0.05045
3.60000	0.05020
3.61000	0.04988
3.62000	0.04965
3.63000	0.04936
3.64000	0.04910
3.65000	0.04882
3.66000	0.04857
3.67000	0.04836
3.68000	0.04808
3.69000	0.04784
3.70000	0.04761
3.71000	0.04735
3.72000	0.04711
3.73000	0.04685
3.74000	0.04663
3.75000	0.04642
3.76000	0.04616
3.77000	0.04590
3.78000	0.04569
3.79000	0.04543
3.80000	0.04525
3.81000	0.04499
3.82000	0.04477
3.83000	0.04456
3.84000	0.04430
3.85000	0.04412
3.86000	0.04388
3.87000	0.04367
3.88000	0.04350
3.89000	0.04320
3.90000	0.04298
3.91000	0.04285
3.92000	0.04261
3.93000	0.04238
3.94000	0.04219
3.95000	0.04196
3.96000	0.04180
3.97000	0.04157
3.98000	0.04136
3.99000	0.04119
4.00000	0.04100
4.01000	0.04077
4.02000	0.04061
4.03000	0.04038
4.04000	0.04017
4.05000	0.04003
4.06000	0.03983
4.07000	0.03964
4.08000	0.03943
4.09000	0.03926
4.10000	0.03908
4.11000	0.03892
4.12000	0.03874
4.13000	0.03853
4.14000	0.03840
4.15000	0.03816
4.16000	0.03798
4.17000	0.03779
4.18000	0.03765
4.19000	0.03749
4.20000	0.03733
4.21000	0.03720
4.22000	0.03696
4.23000	0.03675
4.24000	0.03665
4.25000	0.03646
4.26000	0.03631
4.27000	0.03615
4.28000	0.03596
4.29000	0.03579
4.30000	0.03564
4.31000	0.03550
4.32000	0.03532
4.33000	0.03514
4.34000	0.03503
4.35000	0.03487
4.36000	0.03471
4.37000	0.03453
4.38000	0.03437
4.39000	0.03423
4.40000	0.03410
4.41000	0.03399
4.42000	0.03381
4.43000	0.03365
4.44000	0.03349
4.45000	0.03333
4.46000	0.03320
4.47000	0.03307
4.48000	0.03294
4.49000	0.03280
4.50000	0.03264
4.51000	0.03250
4.52000	0.03239
4.53000	0.03221
4.54000	0.03207
4.55000	0.03195
4.56000	0.03181
4.57000	0.03168
4.58000	0.03152
4.59000	0.03144
4.60000	0.03129
4.61000	0.03113
4.62000	0.03099
4.63000	0.03090
4.64000	0.03077
4.65000	0.03064
4.66000	0.03048
4.67000	0.03040
4.68000	0.03027
4.69000	0.03014
4.70000	0.03000
4.71000	0.02990
4.72000	0.02976
4.73000	0.02961
4.74000	0.02950
4.75000	0.02941
4.76000	0.02930
4.77000	0.02914
4.78000	0.02904
4.79000	0.02893
4.80000	0.02883
4.81000	0.02869
4.82000	0.02856
4.83000	0.02845
4.84000	0.02832
4.85000	0.02824
4.86000	0.02811
4.87000	0.02798
4.88000	0.02788
4.89000	0.02775
4.90000	0.02767
